pax	PABGS
cuter	KAOUT/ER
hydrolysed	HAOEURD/HRAO*EUFD
setback	SET/PWA*BG
calloo callay	KA/HRAO/KA/HRAEU
salesperson	SAEL/-S/PERS/-PB, SAEULS/PERPB, SAEL/-S/PERS/SOPB, SAELS/PERPB, SAEL/-S/PERPB, SAELS/PERS/SOPB
treated	TRAOET/-D/-D, TRAETD, TRAOETD, TRAOET/#-D
rustic	RUS/TEUBG, RUFT/EUBG, R*US/TEUBG
paralleling	PA*R/HREL/-G, PAR/HRELG, PRA/HREL/-G
Croatia	KROE/AEU/SHA, KROE/AEURB/KWRA
retirees	RAOE/TAOEUR/AOES, RE/TAOEUR/KWRAES
disrepair	TKEUS/RAOE/PAEUR, TKEUS/RE/PAEUR
skimmer	SKEUPL/ER
things in	TPHEUPBGS
dawdled	TKAUD/-LD
characterization	KRABGT/SA*EUS/#*/SA*EUGS, KARBG/TREUZ/AEUGS, KARBG/TER/SA*EUGS, KARBG/TREU/SA*EUGS, KRABGT/SA*EUGS, KRAEUBGS, KRABGT/SAEU/SA*EUGS
blood vessel	PWHR*FL, PWHREFL
double-header	TKUBL/HED/*ER
you find	UFPBD
PlaySpace	PHRAEU/SPA*EUS
sulfa	SUL/TPHA, SUL/TPA
palindrome	PAL/*EUPB/TKROEPL, PAL/EUPB/TKROEPL
yes{,}ma'am	KWREPL
Gainesville	TKPWAEUPBS/SREUL
luteinizing	HRAOUT/TPHAOEUZ/-G, HRAOUT/AOEPB/AOEUZ/-G, TKPWHRAOUT/TPHAOEUZ/-G
seems	SAOEFPLS, SAOEPL/-S, SAOEPLS, SAOEPLGS, SAOEPL/-S/-S
attested	A/TEFT/-D
simpatico	SEUPL/PAT/KOE, SEUPL/PAT/KO
{hand-^}	HA*EPBD
cheesiness	KHAOE/S*EU/*PBS, KHAOEZ/SEU/*PBS
how	PHOU, WHOU, HOU
hijack	HAOEUPBLG, HEU/SKWRABG, HAOEU/SKWRABG
mangier	PHAEUPB/SKWREU/ER, PHAEUPBG/KWRER
upcoming	UP/KOPLG
Brady Bunch	PWRAEUD/KWREU/PWUFRPB, PWRAD/KWREU/PWUFRPB
kabbalah	KA/PWAL/HREU, KA/PWAL/HRA
maturity	PHAT/URT, PHAO/TAOURT, PHAFP/KWRUR/TEU, PHAOURT, PHA/KHUR/TEU, PHA/TAOURT, PHAT/TURT, PHA/TAOUR/TEU, PHA/PHA/TAOURT
Condoleezza Rice	KOPBD/HRAOE/SA*/RAOEUS
carbon	KAR/PWOPB, KO*RPB, KA*RPB, KARPB, KARB/O*PB
Dallas	TKAL/HRAS, TKALS, TKHRASZ
